"","commute","county","cz","state","mobility","top1pc_share","gini","teen_birthrate","par_inc_median","kid_inc_median","mobility_hi","commute_hi"
"785",18.04327549,"Montgomery","Red Oak","Iowa",48.908,0.05408,0.30752,0.10759,56300,44400,1,0
"786",20.14866854,"Muscatine","Iowa City","Iowa",45.67575,0.07933,0.31445,0.16555,67100,42100,1,0
"787",14.96654901,"Obrien","Sioux Center","Iowa",54.945,0.06138,0.27287,0.11318,57100,53100,1,0
"788",13.56492411,"Osceola","Worthington","Iowa",56.3935,0.04984,0.24394,0.10746,55300,50900,1,0
"789",18.21535856,"Page","Red Oak","Iowa",50.54725,0.09536,0.31559,0.12835,61000,46000,1,0
"790",16.70775906,"Palo Alto","Spencer","Iowa",54.7535,0.09317,0.3277,0.07863,53400,54000,1,0
"791",18.93899228,"Plymouth","Sioux City","Iowa",57.2795,0.07697,0.27675,0.08826,64000,56800,1,0
"792",14.73853211,"Pocahontas","Fort Dodge","Iowa",58.261,0.0426,0.22592,0.08205,55200,55800,1,0
"793",22.98892925,"Polk","Des Moines","Iowa",42.56,0.15092,0.42879,0.13147,77900,43100,0,1
"794",21.26405647,"Pottawattamie","Omaha","Iowa",43.989,0.10553,0.37153,0.14496,61300,38500,1,0
"795",19.47873615,"Poweshiek","Marshalltown","Iowa",50.84925,0.06895,0.30716,0.1159,67500,50400,1,0
"796",14.43410072,"Sac","Storm Lake","Iowa",57.159,0.07108,0.31427,0.10372,53300,53600,1,0
"797",20.77369931,"Scott","Davenport","Iowa",42.63425,0.11132,0.38119,0.14623,77300,41900,0,0
"798",17.19246527,"Shelby","Atlantic","Iowa",52.87675,0.09846,0.32015,0.07335,57400,52100,1,0
"799",16.17500567,"Sioux","Sioux Center","Iowa",59.40575,0.1733,0.36009,0.06692,63400,59300,1,0
"800",19.10918919,"Story","Des Moines","Iowa",51.0605,0.12299,0.31266,0.05162,82500,51600,1,0
"801",17.91152567,"Tama","Marshalltown","Iowa",51.11075,0.04292,0.26391,0.1403,60800,45900,1,0
"802",17.41506173,"Taylor","Red Oak","Iowa",51.86775,0.07227,0.25329,0.11525,50300,46300,1,0
"803",17.60401943,"Union","Creston","Iowa",48.92575,0.10777,0.37651,0.12162,52200,43900,1,0
"804",19.69943396,"Van Buren","Ottumwa","Iowa",50.3895,0.04741,0.28971,0.11628,47300,43800,1,0
"805",19.54954462,"Wapello","Ottumwa","Iowa",44.11575,0.09145,0.40771,0.16667,54200,38400,1,0
"806",19.4787422,"Warren","Des Moines","Iowa",50.14225,0.08747,0.28368,0.10151,76000,49200,1,0
"807",18.11724757,"Washington","Iowa City","Iowa",47.02275,0.06196,0.28576,0.08394,58200,41000,1,0
"808",22.38241415,"Wayne","Centerville","Iowa",51.15975,0.06828,0.30748,0.1745,41800,45200,1,1
"809",18.98977489,"Webster","Fort Dodge","Iowa",44.3935,0.16311,0.40832,0.14681,64300,42100,1,0
"810",20.20398332,"Winnebago","Mason City","Iowa",49.76325,0.04976,0.23691,0.08127,62800,49200,1,0
"811",17.67640273,"Winneshiek","Decorah","Iowa",57.9695,0.06553,0.28551,0.05672,63500,52300,1,0
"812",19.69010498,"Woodbury","Sioux City","Iowa",44.4635,0.10997,0.40943,0.15299,64800,41200,1,0
"813",21.0059415,"Worth","Mason City","Iowa",47.4015,0.10861,0.28419,0.11491,56600,45500,1,0
"814",15.49141773,"Wright","Fort Dodge","Iowa",49.79125,0.04286,0.27323,0.14876,57000,45000,1,0
